Teamwork and Leadership,Stress Management,Social Interaction,Team Dynamics,Emotional Intelligence,Problem Solving,Analytical Thinking,Decision Making,Adaptability,Academic Interests,Work Environment Preference,Motivation,Career Values,Leadership and Responsibility,Career Recommendation
5,1,1,4,5,1,2,3,1,4,4,4,2,2,Marketing Manager
3,1,3,1,1,5,2,1,5,1,2,4,5,1,Marketing Manager
3,5,2,4,3,2,3,2,5,4,1,4,5,3,Mechanical Engineer
1,5,1,3,2,1,2,5,5,5,5,2,1,3,Entrepreneur
3,1,4,5,5,2,4,3,4,2,1,3,4,1,Doctor
3,5,1,5,5,4,2,1,3,4,3,5,2,5,Architect
3,5,4,4,5,5,3,5,3,1,3,2,4,1,Psychologist
5,2,2,5,3,4,4,4,1,2,3,2,1,3,Financial Analyst
5,2,4,3,4,1,4,1,3,1,5,1,1,5,Teacher
3,4,2,5,1,4,5,3,3,1,5,4,4,1,Doctor
5,2,3,2,3,4,2,3,5,1,4,5,4,2,Marketing Manager
4,4,4,4,4,1,5,2,1,1,2,3,3,2,Financial Analyst
3,1,1,2,2,1,3,2,2,1,2,5,2,4,Financial Analyst
2,3,5,5,5,5,3,3,1,5,2,1,1,2,Entrepreneur
4,2,3,3,1,4,2,3,5,2,5,3,4,2,Architect
3,4,3,1,5,5,5,3,2,5,1,1,1,4,Architect
1,3,3,1,1,4,2,4,2,1,5,1,5,1,Data Scientist
1,2,3,1,1,2,5,1,2,3,3,1,5,1,Architect
2,5,1,4,1,1,1,3,3,4,3,1,1,2,Financial Analyst
2,5,4,4,2,1,1,5,2,1,5,2,1,1,Entrepreneur
5,2,4,1,2,2,1,2,4,3,1,2,4,5,Entrepreneur
2,5,1,4,1,2,5,5,3,2,1,4,5,3,Cybersecurity Expert
2,1,5,2,1,5,4,5,4,1,3,1,4,1,Journalist
4,3,2,5,1,4,5,2,2,2,5,5,5,2,Architect
1,5,4,5,3,3,3,5,4,3,4,1,2,2,Software Engineer
4,4,3,5,1,1,2,2,3,3,1,3,4,5,Graphic Designer
2,3,2,4,4,2,2,3,4,3,4,5,4,1,Mechanical Engineer
2,4,1,2,4,4,3,1,1,5,2,5,1,4,Doctor
1,1,4,1,5,3,5,1,5,3,5,5,2,2,Cybersecurity Expert
2,2,5,1,1,5,2,2,3,5,4,2,3,4,Data Scientist
2,3,1,1,5,1,4,5,3,1,1,2,4,4,Journalist
5,2,3,3,4,3,1,1,2,1,2,2,2,2,Software Engineer
2,4,2,1,5,2,2,3,1,4,2,4,3,2,Graphic Designer
1,5,1,2,4,3,5,4,5,3,3,1,4,5,Financial Analyst
5,3,1,2,4,4,5,1,1,1,2,4,1,3,Data Scientist
2,5,2,2,4,4,5,2,3,1,3,1,5,5,Graphic Designer
1,3,2,2,4,5,1,3,5,1,5,1,3,2,Lawyer
2,2,1,2,3,2,1,3,3,3,3,5,2,5,Data Scientist
1,1,3,4,3,5,5,2,1,2,2,1,5,3,Teacher
5,3,1,5,1,2,2,4,3,1,3,3,1,1,Lawyer
5,5,3,1,4,1,3,4,2,1,5,5,5,4,Graphic Designer
2,1,2,3,1,3,3,4,3,5,5,3,3,5,Journalist
4,5,5,3,3,2,3,1,4,5,2,2,3,4,Data Scientist
1,3,4,2,2,1,3,5,2,4,2,5,2,1,Teacher
1,5,5,3,5,3,5,3,3,4,1,1,1,3,Mechanical Engineer
2,1,3,1,1,4,3,4,1,4,5,5,3,1,Data Scientist
5,2,1,2,4,5,2,1,4,5,3,3,5,3,Doctor
1,4,2,3,2,2,4,1,3,3,2,2,1,5,Software Engineer
5,2,1,3,4,2,4,2,5,5,2,2,1,1,Marketing Manager
3,5,4,3,1,1,2,5,4,4,4,2,4,1,Cybersecurity Expert
1,2,5,1,2,5,4,5,5,1,1,4,1,4,Entrepreneur
2,2,2,3,4,2,5,2,5,5,3,2,2,2,Marketing Manager
1,4,4,5,2,4,4,2,5,1,2,1,3,3,Graphic Designer
3,4,4,1,3,2,1,1,1,5,4,1,2,1,Graphic Designer
5,4,4,5,3,3,2,5,2,4,4,4,1,5,Doctor
5,4,4,3,1,5,2,3,3,2,1,5,1,2,Data Scientist
3,1,1,2,3,5,3,4,4,3,1,2,3,5,Marketing Manager
4,5,5,5,4,3,4,1,1,5,1,2,3,2,Graphic Designer
1,3,4,5,2,3,4,1,4,2,1,5,1,5,Journalist
1,5,1,4,2,1,5,5,4,4,3,2,4,3,Mechanical Engineer
4,2,3,2,5,2,1,5,1,4,5,5,1,1,Psychologist
2,5,5,5,1,3,3,3,5,5,4,1,3,3,Cybersecurity Expert
1,1,1,4,4,4,3,3,4,1,5,1,5,1,Psychologist
4,4,2,2,4,3,1,5,2,2,3,5,5,2,Doctor
1,2,3,4,5,5,4,4,4,4,5,2,1,3,Journalist
5,4,3,5,1,3,5,1,2,1,2,5,1,5,Doctor
3,4,1,2,4,5,2,1,5,5,1,4,5,1,Financial Analyst
3,3,2,4,4,3,1,3,4,5,2,5,3,1,Data Scientist
1,1,5,1,3,1,4,5,1,3,2,5,1,1,Entrepreneur
4,4,4,5,5,5,5,1,1,3,4,4,5,5,Data Scientist
2,2,2,3,1,3,3,3,1,4,2,1,2,2,Mechanical Engineer
4,3,1,5,4,1,3,3,4,4,2,5,5,3,Marketing Manager
1,5,3,4,2,4,2,5,5,4,1,2,3,5,Psychologist
3,5,4,1,3,3,2,1,3,1,3,3,3,1,Mechanical Engineer
2,4,3,1,1,2,5,4,3,3,3,5,1,4,Architect
3,3,3,1,3,4,2,1,5,5,3,1,1,5,Teacher
1,2,1,5,3,5,3,3,3,1,4,5,5,4,Doctor
1,4,5,4,5,4,4,1,3,1,5,5,5,2,Doctor
2,1,5,5,5,3,2,2,1,5,4,4,2,1,Financial Analyst
5,5,4,4,1,1,5,1,5,4,4,1,2,1,Marketing Manager
5,4,3,4,1,4,2,5,2,2,4,2,3,5,Graphic Designer
4,4,1,3,1,3,2,3,4,3,2,4,1,4,Software Engineer
1,1,2,1,3,1,2,4,2,2,5,1,2,4,Teacher
5,4,2,1,3,5,3,5,3,2,4,3,5,4,Entrepreneur
3,5,4,1,3,5,4,4,3,3,1,5,1,2,Psychologist
2,4,2,5,1,3,1,3,4,2,2,4,5,4,Lawyer
4,2,5,3,1,2,5,3,4,2,2,3,1,5,Cybersecurity Expert
4,1,5,4,4,5,3,5,1,1,4,3,2,2,Data Scientist
2,1,5,1,4,1,4,2,1,5,2,2,2,3,Psychologist
4,4,4,2,4,1,1,3,5,3,4,1,3,4,Graphic Designer
3,3,2,5,1,3,3,5,2,3,5,3,1,4,Architect
1,4,5,2,5,3,2,1,5,2,4,5,5,4,Financial Analyst
5,4,3,2,1,5,4,5,2,3,4,2,5,2,Entrepreneur
3,4,3,1,4,3,2,4,4,3,4,2,1,1,Mechanical Engineer
1,1,2,4,4,2,4,4,5,5,5,5,3,5,Mechanical Engineer
5,5,4,3,5,3,3,4,4,2,3,3,4,4,Graphic Designer
3,5,5,4,5,2,5,5,2,5,5,4,2,5,Doctor
4,4,1,5,3,2,4,3,2,2,5,2,1,2,Psychologist
5,5,3,4,1,3,1,2,5,2,1,1,2,5,Entrepreneur
5,4,3,3,3,3,5,3,4,4,3,3,1,5,Psychologist
